filename,hog_signal,hog_confidence,cnn_signal,cnn_confidence,agreement,cnn_scoring_mode,hog_scoring_mode,cnn_error,hog_error
image_01.png,higher_signal,1.0,higher_signal,0.613507,True,cnn_densenet121_experimental,image_baseline_v0,,
image_02.png,higher_signal,0.966726,higher_signal,0.972391,True,cnn_densenet121_experimental,image_baseline_v0,,
image_03.png,higher_signal,0.88549,uncertain,0.380842,False,cnn_densenet121_experimental,image_baseline_v0,,
image_04.png,higher_signal,0.990572,higher_signal,0.950173,True,cnn_densenet121_experimental,image_baseline_v0,,
image_05.png,higher_signal,0.772984,higher_signal,0.986294,True,cnn_densenet121_experimental,image_baseline_v0,,
image_06.png,low_signal,0.645545,low_signal,0.982827,True,cnn_densenet121_experimental,image_baseline_v0,,
image_07.png,higher_signal,1.0,higher_signal,0.807739,True,cnn_densenet121_experimental,image_baseline_v0,,
image_08.png,uncertain,0.528758,higher_signal,0.925479,False,cnn_densenet121_experimental,image_baseline_v0,,
image_09.png,higher_signal,0.635458,uncertain,0.53434,False,cnn_densenet121_experimental,image_baseline_v0,,
image_10.png,higher_signal,0.950988,higher_signal,0.949317,True,cnn_densenet121_experimental,image_baseline_v0,,
image_11.png,higher_signal,0.992796,higher_signal,0.935936,True,cnn_densenet121_experimental,image_baseline_v0,,
image_12.png,higher_signal,0.999799,higher_signal,0.946318,True,cnn_densenet121_experimental,image_baseline_v0,,
image_13.png,higher_signal,0.999896,higher_signal,0.84683,True,cnn_densenet121_experimental,image_baseline_v0,,
image_14.png,higher_signal,0.999852,higher_signal,0.98462,True,cnn_densenet121_experimental,image_baseline_v0,,
image_15.png,higher_signal,0.999306,higher_signal,0.986356,True,cnn_densenet121_experimental,image_baseline_v0,,
image_16.png,low_signal,0.733259,higher_signal,0.994022,False,cnn_densenet121_experimental,image_baseline_v0,,
image_17.png,medium_signal,0.933588,low_signal,0.954521,False,cnn_densenet121_experimental,image_baseline_v0,,
image_18.png,higher_signal,0.821921,uncertain,0.475279,False,cnn_densenet121_experimental,image_baseline_v0,,
image_19.png,higher_signal,0.998282,uncertain,0.564017,False,cnn_densenet121_experimental,image_baseline_v0,,
